digit_set,probe_digit,correct_answer,set_size
1 2 7 4 8 5 3,8,y,7
1 2 9 4 3,1,y,5
3 5 1 7 8,5,y,5
5 4 2 1 7,6,n,5
2 1 9 7 5 3 8,4,n,7
5 8 3 1 6,7,n,5
4 5 9,8,n,3
5 7 3 2 4 8 6,6,y,7
4 1 5 2 6 7 9,7,y,7
2 5 7,9,n,3
1 7 9 5 6,2,n,5
9 7 2,7,y,3
6 1 3 2 9,8,n,5
2 7 3 4 6,4,y,5
2 9 5,9,y,3
7 3 8 4 2,7,y,5
3 1 9 4 8 5 2,7,n,7
9 4 1 2 8 5 3,6,n,7
8 3 9,6,n,3
8 7 6,4,n,3
3 8 7 5 9,9,y,5
8 2 5 1 4 3 7,6,n,7
7 6 1 4 3 2 8,9,n,7
6 4 9,6,y,3
9 2 4 5 8,6,n,5
5 2 7 9 1 3 4,9,y,7
1 2 8 6 5 9 3,7,n,7
7 6 3,7,y,3
5 7 2 6 3,6,y,5
1 4 8 5 9 7 2,7,y,7
9 5 6,7,n,3
4 9 6 8 3 5 1,2,n,7
9 7 6 5 3,8,n,5
6 5 3 7 8 9 4,1,n,7
6 1 5,8,n,3
1 4 7,1,y,3
3 9 4 1 2,6,n,5
9 6 3 2 7,6,y,5
5 9 8 2 3,4,n,5
8 3 1 5 7,3,y,5
3 8 5 6 4,1,n,5
2 3 9,8,n,3
4 2 9 7 3 6 8,4,y,7
3 2 8 1 4 5 9,7,n,7
4 5 6,6,y,3
8 9 3 5 4 7 6,1,n,7
1 2 6 4 8 7 9,1,y,7
2 7 3 6 8,9,n,5
5 4 6,4,y,3
7 5 8 2 6,9,n,5
1 4 9 7 3,1,y,5
4 9 1,2,n,3
6 3 8,3,y,3
6 2 5 9 3 1 8,8,y,7
4 6 1,4,y,3
2 4 9,1,n,3
2 4 8 6 3 5 1,3,y,7
3 1 5,6,n,3
9 5 7,7,y,3
5 7 4 1 8 3 9,3,y,7
7 2 3,2,y,3
3 8 1,9,n,3
3 8 1,2,n,3
7 2 4,6,n,3
4 7 1 2 9,4,y,5
7 5 9 4 3,4,y,5
4 8 7 9 2,4,y,5
2 5 8 3 4,6,n,5
5 1 2 3 6 4 8,9,n,7
5 4 2,6,n,3
2 4 6 3 9 5 1,2,y,7
2 3 5,5,y,3
6 5 7 1 3,2,n,5
6 2 8 7 9 4 3,2,y,7
9 1 3 2 8 5 4,1,y,7
7 9 3,2,n,3
7 9 6 2 1 8 5,8,y,7
4 5 9 1 3 2 7,9,y,7
5 4 3 2 7 1 9,8,n,7
4 9 2,2,y,3
6 7 1 9 3,4,n,5
8 1 9,4,n,3
4 3 9,3,y,3
2 3 6,4,n,3
5 1 8 3 2,6,n,5
3 2 9 5 6,4,n,5
1 9 8,1,y,3
2 4 7,2,y,3
9 8 2 7 3,8,y,5
2 1 5 3 4 7 9,6,n,7
7 5 9 4 3 1 2,7,y,7
5 3 9,1,n,3
7 5 4,4,y,3
8 2 4 3 7 9 5,2,y,7
6 2 3,7,n,3
4 2 6 8 3 1 5,9,n,7
3 8 4 9 2 6 7,9,y,7
2 7 5 8 6 9 3,4,n,7
4 9 2 5 8,9,y,5
6 3 4 2 1,5,n,5
1 9 6 3 8,1,y,5
7 3 5 9 8,6,n,5
2 9 6 8 5,1,n,5
2 4 6 9 3 1 8,5,n,7
4 1 5 8 9,9,y,5
4 6 2,2,y,3
5 1 7,5,y,3
9 3 6 5 7,5,y,5
2 4 9 8 6,8,y,5
6 2 1 4 5,5,y,5
4 5 6 8 3 9 7,2,n,7
2 1 6,1,y,3
8 9 4 1 6 3 5,7,n,7
2 9 6 8 4,2,y,5
4 7 9 5 1 8 2,4,y,7
9 4 3 6 8,4,y,5
6 8 4 7 2,9,n,5
1 4 7,4,y,3
5 4 8 1 9 2 3,6,n,7
8 5 9,1,n,3
5 4 1,3,n,3
9 2 4,9,y,3
8 2 1 6 5,8,y,5
4 1 5,4,y,3
2 9 5 8 7,5,y,5
9 1 3 7 2,6,n,5
5 1 8 9 3 2 6,7,n,7
4 7 9 8 2 5 3,5,y,7
9 1 6 5 3,9,y,5
6 4 7 1 3 8 9,5,n,7
8 6 7 4 5 9 3,4,y,7
7 4 3 2 1,6,n,5
2 9 6,5,n,3
3 5 2,4,n,3
6 7 5 9 2,1,n,5
1 8 2 7 4,5,n,5
8 1 5 2 9 4 7,7,y,7
2 5 9 8 3,1,n,5
5 3 1 7 2 8 4,6,n,7
6 7 3,6,y,3
9 5 8 7 4 6 2,3,n,7
6 5 7 4 9 2 8,5,y,7
6 8 5,4,n,3
3 6 1 2 9,1,y,5
7 3 9 4 2 1 5,2,y,7
7 6 3 8 4 9 2,5,n,7
2 3 8 1 5 6 9,5,y,7
7 4 5,9,n,3
5 1 6,1,y,3
8 2 4 6 3 7 9,5,n,7
